Date,Close
3/3/2015,79.14
3/4/2015,78.65
3/5/2015,78.89
3/6/2015,78.98
3/9/2015,79.84
3/10/2015,77.72
3/11/2015,78.23
3/12/2015,81.45
3/13/2015,80
3/16/2015,81.47
3/17/2015,81.5
3/18/2015,81.62
3/19/2015,80.62
3/20/2015,81.13
3/23/2015,81.25
3/24/2015,80.14
3/25/2015,78.84
3/26/2015,78.51
3/27/2015,78.65
3/30/2015,79.2
3/31/2015,78.82
4/1/2015,79.87
4/2/2015,80.31
4/6/2015,80.32
4/7/2015,79.67
4/8/2015,80.19
4/9/2015,80.36
4/10/2015,80.61
4/13/2015,81.09
4/14/2015,81.35
4/15/2015,82.82
4/16/2015,83.01
4/17/2015,82
4/20/2015,82.19
4/21/2015,81.53
4/22/2015,81.76
4/23/2015,81.86
4/24/2015,80.44
4/27/2015,80.36
4/28/2015,80.73
4/29/2015,80.36
4/30/2015,80.85
5/1/2015,81.93
5/4/2015,82.26
5/5/2015,82.27
5/6/2015,82.64
5/7/2015,82.02
5/8/2015,83.16
5/11/2015,83.31
5/12/2015,82.91
5/13/2015,83.65
5/14/2015,84.47
5/15/2015,84.03
5/18/2015,84.56
5/19/2015,85.41
5/20/2015,85.35
5/21/2015,85.11
5/22/2015,85.02
5/26/2015,83.95
5/27/2015,84.63
5/28/2015,84.3
5/29/2015,83.56
6/1/2015,83.39
6/2/2015,83.95
6/3/2015,84.3
6/4/2015,83.19
6/5/2015,84.94
6/8/2015,84.94
6/9/2015,85.57
6/10/2015,86.93
6/11/2015,87.66
6/12/2015,87.57
6/15/2015,87.49
6/16/2015,88.07
6/17/2015,87.84
6/18/2015,88.52
6/19/2015,88.42
6/22/2015,89.32
6/23/2015,89.38
6/24/2015,89.09
6/25/2015,88.85
6/26/2015,89.06
6/29/2015,87.75
6/30/2015,87.97
7/1/2015,88.6
7/2/2015,88.32
7/6/2015,87.75
7/7/2015,87.89
7/8/2015,86.21
7/9/2015,86.73
7/10/2015,87.67
7/13/2015,89.03
7/14/2015,89.02
7/15/2015,90.1
7/16/2015,90.96
7/17/2015,90.99
7/20/2015,91.44
7/21/2015,91.71
7/22/2015,91.65
7/23/2015,90.77
7/24/2015,78.86
7/27/2015,78.61
7/28/2015,78.65
7/29/2015,79.62
7/30/2015,81.5
7/31/2015,81.3
8/3/2015,81.63
8/4/2015,81.38
8/5/2015,81.86
8/6/2015,81.14
8/7/2015,80.82
8/10/2015,82.49
8/11/2015,80.87
8/12/2015,80.62
8/13/2015,80.76
8/14/2015,81.27
8/17/2015,81.65
8/18/2015,81.26
8/19/2015,80.12
8/20/2015,79.04
8/21/2015,76.62
8/24/2015,73.53
8/25/2015,72.25
8/26/2015,74.75
8/27/2015,77.36
8/28/2015,77.32
8/31/2015,77.75
9/1/2015,74.32
9/2/2015,75.3
9/3/2015,76.16
9/4/2015,74.83
9/8/2015,76.79
9/9/2015,75.86
9/10/2015,75.87
9/11/2015,75.65
9/14/2015,75.76
9/15/2015,76.36
9/16/2015,77.28
9/17/2015,75.89
9/18/2015,73.56
9/21/2015,74.58
9/22/2015,73.68
9/23/2015,73.5
9/24/2015,73.12
9/25/2015,74.05
9/28/2015,72.17
9/29/2015,71.55
9/30/2015,72.52
10/1/2015,72.94
10/2/2015,72.87
10/5/2015,75.3
10/6/2015,75.22
10/7/2015,74.96
10/8/2015,75.05
10/9/2015,74.45
10/12/2015,74.25
10/13/2015,73.94
10/14/2015,72.56
10/15/2015,74.52
10/16/2015,74.67
10/19/2015,74.64
10/20/2015,74.58
10/21/2015,73.68
10/22/2015,74.94
10/23/2015,81.12
10/26/2015,79.65
10/27/2015,79.33
10/28/2015,81.14
10/29/2015,80.2
10/30/2015,78.9
11/2/2015,80.22
11/3/2015,80.88
11/4/2015,80.55
11/5/2015,79.55
11/6/2015,81.42
11/9/2015,80.45
11/10/2015,79.38
11/11/2015,78.87
11/12/2015,77.38
11/13/2015,76.97
11/16/2015,77.9
11/17/2015,76.37
11/18/2015,78.29
11/19/2015,79.58
11/20/2015,79.46
11/23/2015,78.82
11/24/2015,78.63
11/25/2015,79.04
11/27/2015,79
11/30/2015,78.51
12/1/2015,79.82
12/2/2015,78.77
12/3/2015,77.33
12/4/2015,79.37
12/7/2015,78.33
12/8/2015,76.86
12/9/2015,75.42
12/10/2015,75.61
12/11/2015,73.68
12/14/2015,73.31
12/15/2015,75.37
12/16/2015,76.36
12/17/2015,74.38
12/18/2015,72.47
12/21/2015,72.58
12/22/2015,72.77
12/23/2015,73.69
12/24/2015,73.52
12/28/2015,73.15
12/29/2015,73.79
12/30/2015,73.21
12/31/2015,72.18
1/4/2016,70.74
1/5/2016,69.46
1/6/2016,68.55
1/7/2016,65.08
1/8/2016,64.23
1/11/2016,64.76
1/12/2016,65.8
1/13/2016,63.64
1/14/2016,64.6
1/15/2016,62.85
1/19/2016,62.19
1/20/2016,60.76
1/21/2016,61.18
1/22/2016,61.1
1/25/2016,58.66
1/26/2016,60.38
1/27/2016,63.3
1/28/2016,62.99
1/29/2016,65.62
2/1/2016,65.01
2/2/2016,63.21
2/3/2016,63.15
2/4/2016,63.73
2/5/2016,63.36
2/8/2016,60.89
2/9/2016,62.42
2/10/2016,62.24
2/11/2016,60.15
2/12/2016,62.54
2/16/2016,64.21
2/17/2016,65.18
2/18/2016,65.93
2/19/2016,65.73
2/22/2016,67.76
2/23/2016,65.72
2/24/2016,65.41
2/25/2016,66.42
2/26/2016,67.2
2/29/2016,65.73
3/1/2016,67.99
3/2/2016,69.14
3/3/2016,69.66
3/4/2016,69.59
3/7/2016,69.52
3/8/2016,68.49
3/9/2016,68.7
3/10/2016,69.23
3/11/2016,71.03
3/14/2016,69.93
3/15/2016,69.32
3/16/2016,69.38
3/17/2016,69.5
3/18/2016,70.57
3/21/2016,70.81
3/22/2016,70.46
3/23/2016,70.21
3/24/2016,69.76
3/28/2016,69.2
3/29/2016,68.85
3/30/2016,69.15
3/31/2016,69.31
4/1/2016,70.8
4/4/2016,69.83
4/5/2016,68.53
4/6/2016,68.27
4/7/2016,66.58
4/8/2016,66.67
4/11/2016,67.2
4/12/2016,68.31
4/13/2016,70.84
4/14/2016,71.47
4/15/2016,71.34
4/18/2016,71.66
4/19/2016,72.8
4/20/2016,75.43
4/21/2016,74.73
4/22/2016,75.56
4/25/2016,74.99
4/26/2016,75.96
4/27/2016,74.31
4/28/2016,73.37
4/29/2016,72.39
5/2/2016,73.58
5/3/2016,71.97
5/4/2016,69.68
5/5/2016,69.12
5/6/2016,69.39
5/9/2016,69.6
5/10/2016,71.14
5/11/2016,70.35
5/12/2016,69.36
5/13/2016,68.71
5/16/2016,69.28
5/17/2016,68.83
5/18/2016,70.98
5/19/2016,70.53
5/20/2016,70.93
5/23/2016,70.65
5/24/2016,71.62
5/25/2016,73.27
5/26/2016,72.56
5/27/2016,73.83
5/31/2016,73.24
6/1/2016,73.22
6/2/2016,73.38
6/3/2016,71.6
6/6/2016,72.85
6/7/2016,72.35
6/8/2016,72.1
6/9/2016,70.87
6/10/2016,70.04
6/13/2016,69
6/14/2016,64.43
6/15/2016,64.64
6/16/2016,64.25
6/17/2016,64.19
6/20/2016,64.28
6/21/2016,64.25
6/22/2016,63.93
6/23/2016,65.6
6/24/2016,61.88
6/27/2016,58.15
6/28/2016,59.66
6/29/2016,61.92
6/30/2016,63.51
7/1/2016,62.96
7/5/2016,60.86
7/6/2016,61.28
7/7/2016,61.89
7/8/2016,64.71
7/11/2016,66.26
7/12/2016,67.85
7/13/2016,67.94
7/14/2016,68.85
7/15/2016,68.15
7/18/2016,68.12
7/19/2016,67.73
