Date,Close
3/3/2015,43.38
3/4/2015,43.61
3/5/2015,43.8
3/6/2015,42.38
3/9/2015,42.69
3/10/2015,41.82
3/11/2015,41.47
3/12/2015,41.62
3/13/2015,42.38
3/16/2015,43.41
3/17/2015,42.87
3/18/2015,44.13
3/19/2015,44.16
3/20/2015,44.41
3/23/2015,44.25
3/24/2015,43.71
3/25/2015,42.93
3/26/2015,42.99
3/27/2015,42.64
3/30/2015,43.44
3/31/2015,43.15
4/1/2015,42.94
4/2/2015,42.62
4/6/2015,42.96
4/7/2015,42.96
4/8/2015,43.11
4/9/2015,43.2
4/10/2015,43.51
4/13/2015,43.08
4/14/2015,42.73
4/15/2015,43.99
4/16/2015,43.46
4/17/2015,43
4/20/2015,43.32
4/21/2015,43.42
4/22/2015,43.55
4/23/2015,43.39
4/24/2015,43.08
4/27/2015,43.61
4/28/2015,44.5
4/29/2015,44.73
4/30/2015,43.62
5/1/2015,44.37
5/4/2015,44.59
5/5/2015,43.92
5/6/2015,43.26
5/7/2015,43.48
5/8/2015,44.01
5/11/2015,43.84
5/12/2015,43.57
5/13/2015,43.79
5/14/2015,44.38
5/15/2015,44.15
5/18/2015,44.24
5/19/2015,44.32
5/20/2015,44.29
5/21/2015,44.28
5/22/2015,43.93
5/26/2015,43.33
5/27/2015,44.14
5/28/2015,43.86
5/29/2015,43.49
6/1/2015,43.79
6/2/2015,43.7
6/3/2015,43.97
6/4/2015,43.77
6/5/2015,43.81
6/8/2015,43.1
6/9/2015,43.07
6/10/2015,43.94
6/11/2015,44.28
6/12/2015,44.34
6/15/2015,43.72
6/16/2015,44.64
6/17/2015,44.91
6/18/2015,42.74
6/19/2015,41.59
6/22/2015,41.49
6/23/2015,41.71
6/24/2015,41.2
6/25/2015,41.06
6/26/2015,40.99
6/29/2015,40.42
6/30/2015,40.3
7/1/2015,40.24
7/2/2015,40.36
7/6/2015,40.15
7/7/2015,40.16
7/8/2015,39.77
7/9/2015,40.18
7/10/2015,40.36
7/13/2015,40.8
7/14/2015,40.78
7/15/2015,40.79
7/16/2015,40.96
7/17/2015,40.4
7/20/2015,39.93
7/21/2015,39.57
7/22/2015,39.42
7/23/2015,39
7/24/2015,39
7/27/2015,38.51
7/28/2015,39.28
7/29/2015,39.79
7/30/2015,39.65
7/31/2015,39.94
8/3/2015,39.71
8/4/2015,39.66
8/5/2015,39.64
8/6/2015,39.32
8/7/2015,39.56
8/10/2015,39.89
8/11/2015,39.17
8/12/2015,39.28
8/13/2015,39.31
8/14/2015,39.41
8/17/2015,39.72
8/18/2015,39.83
8/19/2015,39.53
8/20/2015,38.63
8/21/2015,37.55
8/24/2015,36.08
8/25/2015,35.45
8/26/2015,36.91
8/27/2015,36.82
8/28/2015,37.46
8/31/2015,37.09
9/1/2015,36.01
9/2/2015,36.75
9/3/2015,36.9
9/4/2015,36.27
9/8/2015,37.68
9/9/2015,37.09
9/10/2015,37.61
9/11/2015,37.92
9/14/2015,37.56
9/15/2015,37.99
9/16/2015,38.27
9/17/2015,36.74
9/18/2015,36.38
9/21/2015,36.83
9/22/2015,36.19
9/23/2015,35.99
